Item,Group
Bulgur (1 kg),I. Food items
Lentils (1 kg),I. Food items
Rice (1 kg),I. Food items
Salt (1 kg),I. Food items
Sugar (1 kg),I. Food items
Vegetable oil (1 L),I. Food items
Wheat flour (1 kg),I. Food items
Bottled water (1 L),II. Water
Water trucking (500 L),II. Water
Bath soap (125 g),III. Non-food items
Detergent (1 kg),III. Non-food items
Disinfectant solution (1 kg),III. Non-food items
Garbage bags (20 units),III. Non-food items
Sanitary napkins (1 unit),III. Non-food items
Shampoo (500 ml),III. Non-food items
Toothbrush (1 unit),III. Non-food items
Toothpaste (75 ml),III. Non-food items
US dollars,IV. Currencies
SMEB,V. Indices
SMEB food,V. Indices
SMEB NFI,V. Indices
SMEB water,V. Indices
Butane (1 canister),VI. Discontinued items
Chicken (1 kg),VI. Discontinued items
Chickpeas (1 kg),VI. Discontinued items
Comb (1 unit),VI. Discontinued items
Dry milk (500 g),VI. Discontinued items
Eggs (30 units),VI. Discontinued items
Kerosene (1 L),VI. Discontinued items
Nail clippers (1 unit),VI. Discontinued items
Onions (1 kg),VI. Discontinued items
Tea (500 g),VI. Discontinued items
Towel (1 unit),VI. Discontinued items
White beans (1 kg),VI. Discontinued items
